user,index_col,location,tweet,Date,Tweet Coordinates
TrulyJha,34,"New Delhi, India",tv9bharatvarsh मलबर एकसरसइज स चन क हलत खरबदखए फल फइनलmalabarwarexercise china quad loc nishantchat,2020-11-17 16:04:54,
TV9Bharatvarsh,35,"Noida, India",चन तनशह कप रह हकवड क तकत भप रह ह दखए परवह दश कchina quad loc pok lac httpstcoikyeefq4oq,2020-11-17 17:39:54,
TV9Bharatvarsh,36,"Noida, India",चन तनशह कप रह हकवड क तकत भप रह ह दखए परवह दश कchina quad loc pok lac httpstcoikyeefq4oq,2020-11-17 17:39:54,
TV9Bharatvarsh,37,"Noida, India",चन तनशह कप रह हकवड क तकत भप रह ह दखए परवह दश कchina quad loc pok lac httpstcoikyeefq4oq,2020-11-17 17:39:54,
TV9Bharatvarsh,38,"Noida, India",चन तनशह कप रह हकवड क तकत भप रह ह दखए परवह दश कchina quad loc pok lac httpstcoikyeefq4oq,2020-11-17 17:39:54,
aajtak,39,India,अरब सगर म मलबर सनय अभयस क दसर चरण शर vishesh पर शhttpstcox8hzfuf59xchitraaum httpstcojzerngjjal,2020-11-17 17:56:30,
ashish_ranu,40,"Bihar, India",aajtak अरब सगर म मलबर सनय अभयस क दसर चरण शर vishesh पर शhttpstcox8hzfuf59xchitraaum httpstcojzerngjjal,2020-11-17 17:57:28,
DhanaramN,41,,aajtak अरब सगर म मलबर सनय अभयस क दसर चरण शर vishesh पर शhttpstcox8hzfuf59xchitraaum httpstcojzerngjjal,2020-11-17 17:58:00,
shyamlee_r,42,India,aajtak अरब सगर म मलबर सनय अभयस क दसर चरण शर vishesh पर शhttpstcox8hzfuf59xchitraaum httpstcojzerngjjal,2020-11-17 18:00:38,
Rao1979Yogesh,43,India,zeenews चन क मलबर मसज परट2china malabar yudhabhyaas httpstcojsslsqflbi,2020-11-17 18:12:19,
Harvind64792387,44,,aajtak अरब सगर म दनय क चर शकतशल लकततरक दश न हलचल मच द india japan us australia video httpstconldywb,2020-11-17 18:15:19,
AviJosh14235433,45,"Jalandhar, India",aajtak अरब सगर म दनय क चर शकतशल लकततरक दश न हलचल मच द india japan us australia video httpstconldywb,2020-11-17 18:15:30,
AviJosh14235433,46,"Jalandhar, India",aajtak अरब सगर म मलबर सनय अभयस क दसर चरण शर vishesh पर शhttpstcox8hzfuf59xchitraaum httpstcojzerngjjal,2020-11-17 18:15:58,
wwajahat5,47,,tv9bharatvarsh चन तनशह कप रह हकवड क तकत भप रह ह दखए परवह दश कchina quad loc pok lac ameri,2020-11-17 18:16:20,
wwajahat5,48,,tv9bharatvarsh चन तनशह कप रह हकवड क तकत भप रह ह दखए परवह दश कchina quad loc pok lac ameri,2020-11-17 18:16:20,
wwajahat5,49,,tv9bharatvarsh चन तनशह कप रह हकवड क तकत भप रह ह दखए परवह दश कchina quad loc pok lac ameri,2020-11-17 18:16:20,
DeviRaval7,50,,aajtak अरब सगर म मलबर सनय अभयस क दसर चरण शर vishesh पर शhttpstcox8hzfuf59xchitraaum httpstcojzerngjjal,2020-11-17 18:23:50,
KundanP89886347,51,"Patna, India",aajtak अरब सगर म मलबर सनय अभयस क दसर चरण शर vishesh पर शhttpstcox8hzfuf59xchitraaum httpstcojzerngjjal,2020-11-17 19:07:52,
sumairakh,52,"noida, new delhi",tv9bharatvarsh चन तनशह कप रह हकवड क तकत भप रह ह दखए परवह दश कchina quad loc pok lac ameri,2020-11-17 19:11:33,
sumairakh,53,"noida, new delhi",tv9bharatvarsh चन तनशह कप रह हकवड क तकत भप रह ह दखए परवह दश कchina quad loc pok lac ameri,2020-11-17 19:11:33,
sumairakh,54,"noida, new delhi",tv9bharatvarsh चन तनशह कप रह हकवड क तकत भप रह ह दखए परवह दश कchina quad loc pok lac ameri,2020-11-17 19:11:33,
ProfKapilKumar,55,New Delhi,tv9bharatvarsh मलबर एकसरसइज स चन क हलत खरबदखए फल फइनलmalabarwarexercise china quad loc nishantchat,2020-11-17 19:19:00,
ProfKapilKumar,56,New Delhi,tv9bharatvarsh मलबर एकसरसइज स चन क हलत खरबदखए फल फइनलmalabarwarexercise china quad loc nishantchat,2020-11-17 19:19:00,
ProfKapilKumar,57,New Delhi,tv9bharatvarsh मलबर एकसरसइज स चन क हलत खरबदखए फल फइनलmalabarwarexercise china quad loc nishantchat,2020-11-17 19:19:00,
VkMalik14771844,58,,aajtak अरब सगर म मलबर सनय अभयस क दसर चरण शर vishesh पर शhttpstcox8hzfuf59xchitraaum httpstcojzerngjjal,2020-11-17 21:54:48,
RAMPRAS02820477,59,,tv9bharatvarsh चन तनशह कप रह हकवड क तकत भप रह ह दखए परवह दश कchina quad loc pok lac ameri,2020-11-18 01:16:18,
RAMPRAS02820477,60,,tv9bharatvarsh चन तनशह कप रह हकवड क तकत भप रह ह दखए परवह दश कchina quad loc pok lac ameri,2020-11-18 01:16:18,
RAMPRAS02820477,61,,tv9bharatvarsh चन तनशह कप रह हकवड क तकत भप रह ह दखए परवह दश कchina quad loc pok lac ameri,2020-11-18 01:16:18,
UdaipurKiran,62,udaipur,परव लददख म चन स तनव क बच अरब सगर म शर हआ मलबर नसनक यदधभयस क दसरचरण httpstcossbwphqv20,2020-11-18 01:46:24,
Ashu_real01,63,"Varanasi, India",navbharattimes परव लददख म चन स तनव क बच अरब सगर म शर हआ मलबर नसनक यदधभयस क दसर चरण दनय क सबस ब,2020-11-18 01:56:25,
abpbihar,64,"Patna, Bihar",चन क हव नकलन वल यदधभयस malabar यदधभयस क दसर चरण जरakhileshanandd httpstcord8fljfkm5,2020-11-18 02:00:01,
Chanakyaoffice,65,Union Republic of HINDUSTAN ,tv9bharatvarsh चन तनशह कप रह हकवड क तकत भप रह ह दखए परवह दश कchina quad loc pok lac ameri,2020-11-18 02:02:49,
Chanakyaoffice,66,Union Republic of HINDUSTAN ,tv9bharatvarsh चन तनशह कप रह हकवड क तकत भप रह ह दखए परवह दश कchina quad loc pok lac ameri,2020-11-18 02:02:49,
Chanakyaoffice,67,Union Republic of HINDUSTAN ,tv9bharatvarsh चन तनशह कप रह हकवड क तकत भप रह ह दखए परवह दश कchina quad loc pok lac ameri,2020-11-18 02:02:49,
babblu_gumtala,68,India,aajtak अरब सगर म मलबर सनय अभयस क दसर चरण शर vishesh पर शhttpstcox8hzfuf59xchitraaum httpstcojzerngjjal,2020-11-18 03:27:14,
ABPNews,69,India,चन क हव नकलन वल यदधभयस malabar यदधभयस क दसर चरण जरakhileshanandd httpstco4ctymp4cyz,2020-11-18 04:00:00,
asrampurnaikin,70,India,abpnews चन क हव नकलन वल यदधभयस malabar यदधभयस क दसर चरण जरakhileshanandd httpstcobkax0zfskuchina,2020-11-18 04:04:49,
gmkrishna,71,hyderabad India,abpnews चन क हव नकलन वल यदधभयस malabar यदधभयस क दसर चरण जरakhileshanandd httpstcobkax0zfskuchina,2020-11-18 04:06:40,
